LABEL,muX7,muX8,muX9,muX10,muX11,a67,a68,a69,a610,a611,a76,a77,a78,a79,a710,a711,a86,a87,a88,a89,a810,a811,a96,a97,a98,a99,a910,a911,a106,a107,a108,a109,a1010,a1011,a116,a117,a118,a119,a1110,a1111
CORRESPONDING INDEX IN NC,7,8,9,10,11,73,74,75,76,77,83,84,85,86,87,88,94,95,96,97,98,99,105,106,107,108,109,110,116,117,118,119,120,121,127,128,129,130,131,132
seed678_v1_60its_run6,1.60E-04,6.18E-06,6.58E-04,6.08E-05,1.10E-03,-0.235321482,-3.55575954,0.940928798,-6.337275661,-1.192334724,-1.630947204,-9.58E-02,-1.672681455,-0.323804144,-2.978235073,-0.903671217,-1.37677218,-1.017308924,-2.053435691,-1.439837303,-1.24878352,-2.628717489,-1.181409347,0.276043836,1.056943227,-0.159615005,-7.387587191,3.224193048,-7.16E-02,2.329467337,-0.627806441,6.03E-02,-1.676926844,-1.435779385,-0.507379016,0.244752677,-0.370639193,1.70E-02,3.029258835,2.16E-03
seed678_v1_300its_run3,6.12E-07,8.88E-06,8.47E-04,2.74E-05,3.21E-04,-0.132176602,1.944272265,0.708461289,-0.178951465,-1.990675075,-0.989578331,-0.536096571,-2.207804135,-0.308744024,-1.072235578,1.543975003,-0.778134386,-0.258754032,-1.630833355,0.895453744,-0.285949758,-0.400079557,-1.238269215,-1.564753151,-0.709103072,-0.102863325,1.265352894,0.614259227,9.91E-02,0.372599224,-0.782141606,3.59E-02,-0.135472931,1.017266328,-1.320592345,-3.87E-02,0.399397641,-2.330848092,3.19E-02,-0.772559928
seed678_v2_300its_run1,7.94E-06,7.21E-08,2.66E-03,6.88E-05,7.21E-08,7.21E-08,7.21E-08,2.67E-03,2.61E-03,7.21E-08,7.21E-08,-4.391079148,-3.624238544,-0.821974375,-4.391079148,3.328878349,-4.391079148,3.328878349,-3.039528534,-0.407442865,0.156576528,3.328878349,-4.391079148,3.328878349,3.328878349,-2.976635436,1.85426139,0.68154681,-0.194385975,3.328878349,3.328878349,2.040681413,-1.553138358,3.328878349,-4.391079148,3.328878349,5.08E-02,-2.402808303,-4.391079148,-3.094846504
seed678_v2_300its_run2,7.21E-08,2.61E-05,2.67E-03,1.39E-03,6.25E-05,7.21E-08,2.67E-03,2.67E-03,7.21E-08,7.21E-08,2.67E-03,-1.166143202,-0.672657651,-1.883324121,-0.88403109,1.235136524,-2.10416698,-0.272968854,-4.391079148,-0.222806102,-0.183522132,0.357536234,3.328878349,-1.670847893,-0.573334659,0.6220901,-0.129137252,-4.391079148,-0.487092221,-4.391079148,2.097823071,-0.16106535,-1.248494168,2.038779622,3.328878349,-4.391079148,-4.391079148,2.971341255,-2.386421852,-3.133035774
seed678_v2_300its_run3,2.82E-04,8.89E-06,6.24E-04,7.21E-08,8.54E-04,2.67E-03,2.67E-03,2.67E-03,2.67E-03,7.21E-08,7.21E-08,-2.015516728,0.41086677,-0.164809522,-4.391079148,-4.376356714,-1.155460152,-2.618629752,-1.795417491,1.008514598,-0.280302175,0.418962744,2.725517478,-1.41442075,-1.217583106,-1.25186217,-0.592662553,0.603375468,-0.253852918,-0.881600515,3.328878349,-4.48E-02,-0.280095541,-0.458213851,-1.50E-02,-0.32941201,-4.368529781,-3.478056478,3.328878349,-0.754875135
seed799_v2_300its_run1,1.30E-05,1.05E-05,1.41E-03,7.21E-08,1.66E-04,7.21E-08,2.67E-03,2.67E-03,7.21E-08,7.21E-08,7.21E-08,-0.531050594,-0.814145331,-1.423043279,3.328878349,0.896483201,-9.25E-03,-4.391079148,-4.337323641,3.328878349,-0.197536329,-0.550133981,-1.27533657,5.67E-02,-1.069790865,-1.618095449,-2.80E-02,0.34653706,-1.633981601,-1.83503365,3.03E-02,1.39E-02,-0.656539184,0.674747405,-4.391079148,-0.372784274,2.947579025,3.09892757,-1.068880878,-1.603757942
seed799_v2_300its_run2,3.91E-04,1.09E-05,2.49E-03,1.05E-07,7.21E-08,7.21E-08,2.67E-03,7.21E-08,7.21E-08,2.67E-03,7.21E-08,-0.533885275,2.629493138,-8.63E-02,3.328878349,-0.74946395,-4.391079148,-4.391079148,3.328878349,-4.064100424,-0.196811941,-1.327726282,-2.602591633,3.328878349,-0.875646576,-0.667039562,-0.368028194,0.219526284,8.80E-02,-0.978051574,3.328878349,-4.48E-02,-0.457716124,3.328878349,-4.391079148,-1.074284937,-0.699924295,0.641681256,-1.148531959,-4.391079148
seed799_v2_300its_run3,7.21E-08,1.85E-05,2.67E-03,7.21E-08,3.63E-05,7.21E-08,2.67E-03,2.67E-03,7.21E-08,7.21E-08,7.21E-08,-0.507898997,3.328878349,8.00E-02,-2.491923158,0.145729122,-4.280410476,0.773614642,-4.391079148,-2.138928614,0.360516451,-0.74153873,-2.104804887,2.650192836,-1.811749655,-0.598498465,1.578395363,0.608548069,-0.293703849,3.328878349,-4.391079148,-8.79E-03,-0.888416905,-2.558475479,-0.434779379,-0.86786213,0.644711014,-0.62810697,-2.972727539,1.756336956
seed1056_v2_300its_run1,7.21E-08,3.05E-06,2.67E-03,7.21E-08,2.00E-04,-5.38E-04,0.985685563,1.70940695,-1.232247689,-4.391079148,-1.633452526,-1.306938289,-2.251849086,-1.214983362,-3.605026238,-1.056212166,-1.106516819,3.328878349,-0.542450988,1.227638271,-4.391079148,-2.869022607,-1.182222295,-0.142600274,-0.950427213,-1.666350951,1.623423594,-4.391079148,1.812902506,-1.666203803,3.328773605,1.825283783,-2.714309587,0.461631169,-4.391079148,-0.623116703,0.176047201,-1.467238565,-4.391079148,-1.371610762
seed1056_v2_300its_run2,7.21E-08,7.21E-08,2.68E-04,1.10E-04,2.20E-04,1.023496182,1.764892187,2.045727585,-4.391079148,0.998018446,3.124919509,-1.693354378,-4.391079148,-1.31430696,-1.237679411,0.278517845,-4.391079148,3.328878349,-1.028207022,0.487899646,-4.391079148,-1.310118021,-3.781099318,-0.686233034,2.893427327,-0.954370878,-0.592687478,1.734925931,0.106774229,3.174428703,3.328878349,-0.201963682,-0.212308534,7.70E-02,-3.680849527,1.424880158,-7.40E-02,0.593515431,3.328878349,-1.689525354
seed1056_v2_300its_run3,1.48E-04,5.70E-07,1.17E-04,2.67E-03,7.21E-08,1.02789715,3.328878349,1.453442238,-2.253799251,-2.056193037,3.328878349,-1.498082261,3.328878349,-1.001278814,-1.455590793,-0.927327892,-1.684489709,1.306003995,1.243507523,0.378431148,-4.24219612,-0.737256646,-0.918330978,3.328878349,6.81E-02,-0.647897978,3.328878349,1.25E-02,1.362076952,3.328878349,2.017361028,0.252808131,-1.902423,-0.121562607,3.328878349,-1.252197986,-0.973707459,0.390019944,-0.347251239,-1.125937786
seed1189_v2_300its_run1,2.67E-03,6.72E-04,1.70E-03,7.21E-08,1.11E-05,0.113072179,3.328878349,1.354467797,0.929249659,-4.391079148,-1.384252318,-0.536368545,2.055928591,-0.117427422,-0.921467667,-1.008814743,-2.087665907,-2.479421941,-4.391079148,0.816343469,1.395401972,-4.391079148,-1.474389051,3.328878349,-0.181176228,-1.315501896,1.573813151,0.556175387,0.741727076,-1.143487571,3.319478617,1.97E-02,-0.74013203,0.661896626,3.328878349,3.328878349,0.166094719,-0.623294808,-1.089488808,-0.319935268
seed1189_v2_300its_run2,3.77E-06,7.21E-08,2.80E-04,1.86E-04,2.53E-04,0.582805053,-0.486819583,1.154326824,-0.64940573,-0.666277638,-1.59E-02,-1.135413346,-5.11E-02,-1.210510256,3.19E-02,-8.20E-02,-1.711855105,1.727648869,-1.095746922,-1.61834781,1.232584576,-1.142121429,-0.838952986,0.134198093,0.444492828,-0.809716128,0.545693807,4.45E-02,0.25475168,0.31571133,0.249143849,-3.94E-02,-0.191341863,-3.56E-03,1.217123386,2.023708973,1.468906632,0.448974458,0.200286729,-0.625983877
seed1189_v2_300its_run3,7.21E-08,1.06E-04,3.86E-04,3.77E-04,2.39E-04,0.532758858,-4.391079148,1.146702801,-0.283260073,2.298515869,-3.53E-02,-1.310362595,0.690445333,-1.743725996,-4.391079148,3.328878349,3.328878349,0.498539622,-1.7634811,-0.474580085,0.251757533,0.116228978,-2.027783885,-0.7559815,3.328878349,-1.174589529,2.870138068,-0.1053648,-0.425986537,0.356012561,0.153209909,7.31E-02,-0.274554037,3.328878349,-2.577913288,1.507197768,3.328878349,-0.934727391,0.612911373,-0.178220784
seed1278_v2_300its_run1,1.75E-04,7.21E-08,1.62E-03,7.21E-08,6.01E-04,-2.733300608,-0.17930373,1.30854833,-4.391079148,-4.391079148,1.023351878,-2.588243226,-1.788686718,-0.943814921,3.328878349,0.647355219,0.692541206,-1.464718107,-2.290890203,-3.432144233,3.328878349,0.871160686,-4.391079148,3.328878349,2.035895257,-0.707366313,-1.150684178,-4.391079148,-0.545820941,-1.209874093,-3.092487869,-4.391079148,-1.411829754,0.390200175,-1.934793596,-0.333724296,-4.123334219,-4.391079148,-1.524774072,-4.391079148
seed1278_v2_300its_run2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1278_v2_300its_run3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min_mu,max_mu,max_a,min_a,,,^,^,^,^,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.21E-08,2.67E-03,3.328878349,-4.391079148,,,These columns accidentally got the mu bounds for 678 and 799 but it seems to have still worked ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,